id,dimension,tematica,indicador,fuente_registrada,polaridad_actual,polaridad_propuesta,confianza_polaridad,justificacion_polaridad,periodicidad_propuesta,confianza_periodicidad,justificacion_periodicidad,ultima_referencia_en_fuente,proxima_actualizacion,estado_fecha,url_oficial,fecha_revision
71,Económico,Agropecuaria,"Valor de la producción pecuaria (Miles de pesos)","SIAP. Dirección General del Servicios de Información Agropecuaria y Pesquera. Datos abiertos 2020, 2021, 2022, 2023 y 2024.",neutro,asendente,media,"Un valor mayor suele representar mayor cobertura, capacidad o resultado favorable.",Anual,media,"Los datos productivos agrícolas y pecuarios se consolidan por ciclo o año agrícola.",2024,,"Por confirmar con calendario oficial",https://www.gob.mx/siap,2026-07-22
72,Económico,Agropecuaria,"Participación al valor de la producción pecuaria estatal","Elaboración propia con base en el SIAP. Dirección General del Servicios de Información Agropecuaria y Pesquera. Datos abiertos 2021, 2022, 2023 y 2024.",neutro,asendente,media,"Un valor mayor suele representar mayor cobertura, capacidad o resultado favorable.",Anual,media,"Los datos productivos agrícolas y pecuarios se consolidan por ciclo o año agrícola.",2024,,"Por confirmar con calendario oficial",https://www.gob.mx/siap,2026-07-22
73,Económico,Agropecuaria,"Producción pecuaria excepto leche (Toneladas)","SIAP. Dirección General del Servicios de Información Agropecuaria y Pesquera. Datos abiertos 2021, 2022 y 2023.",neutro,asendente,media,"Un valor mayor suele representar mayor cobertura, capacidad o resultado favorable.",Anual,media,"Los datos productivos agrícolas y pecuarios se consolidan por ciclo o año agrícola.",2023,,"Por confirmar con calendario oficial",https://www.gob.mx/siap,2026-07-22
74,Económico,Agropecuaria,"Volumen de producción de leche (Litros)","SIAP. Dirección General del Servicios de Información Agropecuaria y Pesquera. Datos abiertos 2021, 2022, 2023 y 2024.",neutro,asendente,media,"Un valor mayor suele representar mayor cobertura, capacidad o resultado favorable.",Anual,media,"Los datos productivos agrícolas y pecuarios se consolidan por ciclo o año agrícola.",2024,,"Por confirmar con calendario oficial",https://www.gob.mx/siap,2026-07-22
75,Económico,Turismo,"Ingresos por Servicios de alojamiento temporal y de preparación de alimentos y bebidas (Millones de pesos)","INEGI. Censos Económicos. Sistema Automatizado de Información Censal 2019 y 2024.",neutro,neutro,alta,"Indicador descriptivo, estructural o sin dirección normativa inequívoca.",Quinquenal,media,"Los Censos Económicos se levantan cada cinco años.",2024,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
76,Económico,Turismo,"Llegada de Turistas","DATATUR. Actividad Hotelera. Reportes del Monitoreo Hotelero. Generación de Reportes 2022, 2023 y 2024.",neutro,asendente,media,"Un valor mayor suele representar mayor cobertura, capacidad o resultado favorable.",Mensual,media,"La actividad hotelera de DATATUR tiene reportes mensuales; algunos indicadores son anuales.",2024,,"Por confirmar con calendario oficial",https://www.datatur.sectur.gob.mx/,2026-07-22
77,Económico,Turismo,"Cuartos disponibles","DATATUR. Actividad Hotelera. Reportes del Monitoreo Hotelero. Generación de Reportes 2022, 2023 y 2024.",neutro,neutro,alta,"Indicador descriptivo, estructural o sin dirección normativa inequívoca.",Mensual,media,"La actividad hotelera de DATATUR tiene reportes mensuales; algunos indicadores son anuales.",2024,,"Por confirmar con calendario oficial",https://www.datatur.sectur.gob.mx/,2026-07-22
78,Económico,Turismo,"Cuartos ocupados","DATATUR. Actividad Hotelera. Reportes del Monitoreo Hotelero. Generación de Reportes 2022, 2023 y 2024.",neutro,asendente,media,"Un valor mayor suele representar mayor cobertura, capacidad o resultado favorable.",Mensual,media,"La actividad hotelera de DATATUR tiene reportes mensuales; algunos indicadores son anuales.",2024,,"Por confirmar con calendario oficial",https://www.datatur.sectur.gob.mx/,2026-07-22
79,Económico,Turismo,"Estadía promedio","DATATUR. Actividad Hotelera. Reportes del Monitoreo Hotelero. Generación de Reportes 2022, 2023 y 2024.",neutro,asendente,media,"Un valor mayor suele representar mayor cobertura, capacidad o resultado favorable.",Mensual,media,"La actividad hotelera de DATATUR tiene reportes mensuales; algunos indicadores son anuales.",2024,,"Por confirmar con calendario oficial",https://www.datatur.sectur.gob.mx/,2026-07-22
80,Económico,Turismo,"PIB Turístico","DATATUR. Estadísticas. Otros Indicadores. PIB Turístico Estatal y Municipal 2020, 2021 y 2022.",neutro,asendente,media,"Un valor mayor suele representar mayor cobertura, capacidad o resultado favorable.",Mensual,media,"La actividad hotelera de DATATUR tiene reportes mensuales; algunos indicadores son anuales.",2022,,"Por confirmar con calendario oficial",https://www.datatur.sectur.gob.mx/,2026-07-22
81,Económico,Turismo,"Participación del PIB turismo al PIB municipal","DATATUR. Estadísticas. Otros Indicadores. PIB Turístico Estatal y Municipal 2020, 2021 y 2022.",neutro,neutro,alta,"Indicador descriptivo, estructural o sin dirección normativa inequívoca.",Mensual,media,"La actividad hotelera de DATATUR tiene reportes mensuales; algunos indicadores son anuales.",2022,,"Por confirmar con calendario oficial",https://www.datatur.sectur.gob.mx/,2026-07-22
82,Económico,Turismo,"Pueblo Mágico","DATATUR. Estadísticas, Otros Indicadores, Pueblos Mágicos 2023.",neutro,neutro,alta,"Indicador descriptivo, estructural o sin dirección normativa inequívoca.",Mensual,media,"La actividad hotelera de DATATUR tiene reportes mensuales; algunos indicadores son anuales.",2023,,"Por confirmar con calendario oficial",https://www.datatur.sectur.gob.mx/,2026-07-22
83,Económico,"Inclusión financiera","Sucursales bancarias por cada 10 mil adultos","CNBV. Panorama Anual de Inclusión Financiera 2021, 2022, 2023 y 2024. CONAPO. Proyección de Población Municipal 1990 - 2040.",neutro,asendente,media,"Un valor mayor suele representar mayor cobertura, capacidad o resultado favorable.",Anual,media,"El Panorama de Inclusión Financiera se publica anualmente.",2024,,"Por confirmar con calendario oficial","https://www.gob.mx/conapo ; https://www.gob.mx/cnbv",2026-07-22
84,Económico,"Inclusión financiera","Cajeros automáticos por cada 10 mil adultos","CNBV. Panorama Anual de Inclusión Financiera 2021, 2022, 2023 y 2024. CONAPO. Proyección de Población Municipal 1990 - 2040.",neutro,asendente,media,"Un valor mayor suele representar mayor cobertura, capacidad o resultado favorable.",Anual,media,"El Panorama de Inclusión Financiera se publica anualmente.",2024,,"Por confirmar con calendario oficial","https://www.gob.mx/conapo ; https://www.gob.mx/cnbv",2026-07-22
85,Económico,"Inclusión financiera","Proporción de adultos que tienen una cuenta en un banco","CNBV. Panorama Anual de Inclusión Financiera 2021, 2022, 2023 y 2024. CONAPO. Proyección de Población Municipal 1990 - 2040.",neutro,asendente,media,"Un valor mayor suele representar mayor cobertura, capacidad o resultado favorable.",Anual,media,"El Panorama de Inclusión Financiera se publica anualmente.",2024,,"Por confirmar con calendario oficial","https://www.gob.mx/conapo ; https://www.gob.mx/cnbv",2026-07-22
86,Económico,"Inclusión financiera","Distribución de cuentas bancarias por sector financiero","CNBV. Panorama Anual de Inclusión Financiera 2021, 2022, 2023 y 2024.",neutro,neutro,alta,"Indicador descriptivo, estructural o sin dirección normativa inequívoca.",Anual,media,"El Panorama de Inclusión Financiera se publica anualmente.",2024,,"Por confirmar con calendario oficial",https://www.gob.mx/cnbv,2026-07-22
87,Económico,"Transporte y comunicaciones ","Vehículos de motor registrados en circulación según tipo","INEGI. Subsistema de Información Económica. Vehículos de Motor Registrados en Circulación 2021, 2022, 2023 y 2024.",neutro,neutro,alta,"Indicador descriptivo, estructural o sin dirección normativa inequívoca.",Anual,media,"La estadística de vehículos registrados se publica anualmente.",2024,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
88,Económico,"Transporte y comunicaciones ","Porcentaje de vialidades que disponen de paradas de transporte colectivo","Elaboración propia con base en el INEGI. Censo de Población y Vivienda 2020.",neutro,asendente,media,"Un valor mayor suele representar mayor cobertura, capacidad o resultado favorable.",Decenal,media,"El Censo de Población y Vivienda tiene periodicidad decenal; cortes intercensales deben documentarse.",2020,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
89,Económico,"Transporte y comunicaciones ","Grado de accesibilidad a carretera pavimentada","CONEVAL. Grado de Accesibilidad Carretera 2020.",neutro,neutro,alta,"Indicador descriptivo, estructural o sin dirección normativa inequívoca.","Por confirmar",baja,"La fuente registrada no permite establecer un calendario confiable.",2020,,"Por confirmar con calendario oficial",https://www.coneval.org.mx/,2026-07-22
90,Económico,"Transporte y comunicaciones ","Infraestructura carretera según tipo (cuota y libre)","Elaboración propia con base en el INEGI. Red Nacional de Caminos, 2023.",neutro,neutro,alta,"Indicador descriptivo, estructural o sin dirección normativa inequívoca.","Por confirmar",baja,"La fuente registrada no permite establecer un calendario confiable.",2023,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
91,Económico,Agropecuaria,"Volumen de producción agrícola por cultivo (Toneladas)","SIAP. Dirección General del Servicio de Información Agroalimentaria y Pesquera. Datos Abiertos 2021, 2022, 2023 y 2024.",neutro,asendente,media,"Un valor mayor suele representar mayor cobertura, capacidad o resultado favorable.",Anual,media,"Los datos productivos agrícolas y pecuarios se consolidan por ciclo o año agrícola.",2024,,"Por confirmar con calendario oficial",https://www.gob.mx/siap,2026-07-22
92,"Geográfica y Medio Ambiente",Agua,"Plantas de tratamiento de aguas residuales por tipo de servicio","CONAGUA. Dirección Local Puebla reportado en el Histórico del Anuario Estadístico 2022, 2023, 2024 y 2025.",neutro,asendente,media,"Un valor mayor suele representar mayor cobertura, capacidad o resultado favorable.",Anual,media,"Los anuarios estadísticos de CONAGUA se publican por edición anual.",2025,,"Por confirmar con calendario oficial",https://www.gob.mx/conagua,2026-07-22
93,"Geográfica y Medio Ambiente",Agua,"Plantas de tratamiento de aguas residuales públicas (capacidad y volumen)","CONAGUA. Dirección Local Puebla reportado en el Histórico del Anuario Estadístico 2022, 2023, 2024 y 2025.",neutro,asendente,media,"Un valor mayor suele representar mayor cobertura, capacidad o resultado favorable.",Anual,media,"Los anuarios estadísticos de CONAGUA se publican por edición anual.",2025,,"Por confirmar con calendario oficial",https://www.gob.mx/conagua,2026-07-22
94,"Geográfica y Medio Ambiente",Agua,"Plantas potabilizadoras en operación (capacidad y volumen)","CONAGUA. Dirección Local Puebla reportado en el Histórico del Anuario Estadístico 2022, 2023, 2024 y 2025.",neutro,asendente,media,"Un valor mayor suele representar mayor cobertura, capacidad o resultado favorable.",Anual,media,"Los anuarios estadísticos de CONAGUA se publican por edición anual.",2025,,"Por confirmar con calendario oficial",https://www.gob.mx/conagua,2026-07-22
95,"Geográfica y Medio Ambiente",Residuos,"Promedio diario de residuos sólidos urbanos recolectados (kilogramos)","INEGI. Censo Nacional de Gobiernos Municipales y Demarcaciones Territoriales de la Ciudad de México 2021, 2023 y 2025.",neutro,neutro,alta,"Indicador descriptivo, estructural o sin dirección normativa inequívoca.",Bienal,media,"La serie de referencia muestra cortes bienales (2021, 2023, 2025).",2025,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
96,"Geográfica y Medio Ambiente",Residuos,"Promedio diario de residuos recolectados de manera selectiva (kilogramos)","INEGI. Censo Nacional de Gobiernos Municipales y Demarcaciones Territoriales de la Ciudad de México 2021, 2023 y 2025.",neutro,asendente,media,"Un valor mayor suele representar mayor cobertura, capacidad o resultado favorable.",Bienal,media,"La serie de referencia muestra cortes bienales (2021, 2023, 2025).",2025,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
97,"Geográfica y Medio Ambiente",Residuos,"Viviendas particulares habitadas que desechan sus residuos de forma inadecuada (porcentaje)","INEGI. Censo de Población y Vivienda 2020.",neutro,descendente,media,"Un valor menor suele representar menor carencia, riesgo o presión desfavorable.",Decenal,media,"El Censo de Población y Vivienda tiene periodicidad decenal; cortes intercensales deben documentarse.",2020,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
98,"Geográfica y Medio Ambiente",Residuos,"Contaminantes atmosféricos por tipo de emisión (toneladas)","SEMARNAT. Documentos del Inventario Nacional de Emisiones 2020.",neutro,descendente,media,"Un valor menor suele representar menor carencia, riesgo o presión desfavorable.",Plurianual,media,"Los inventarios de emisiones no tienen un calendario anual uniforme.",2020,,"Por confirmar con calendario oficial",https://www.gob.mx/semarnat,2026-07-22
99,"Geográfica y Medio Ambiente",Residuos,"Población con acceso al servicio de recolección (porcentaje)","INEGI. Censo Nacional de Gobiernos Municipales y Demarcaciones Territoriales de la Ciudad de México 2021, 2023 y 2025.",neutro,asendente,media,"Un valor mayor suele representar mayor cobertura, capacidad o resultado favorable.",Bienal,media,"La serie de referencia muestra cortes bienales (2021, 2023, 2025).",2025,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
100,"Geográfica y Medio Ambiente",Residuos,"Viviendas particulares habitadas que queman los residuos sólidos (porcentaje)","INEGI. Censo de Población y Vivienda 2020.",neutro,descendente,media,"Un valor menor suele representar menor carencia, riesgo o presión desfavorable.",Decenal,media,"El Censo de Población y Vivienda tiene periodicidad decenal; cortes intercensales deben documentarse.",2020,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
101,"Geográfica y Medio Ambiente",Residuos,"Lugares de disposición final de residuos por tipo de régimen","INEGI. Censo Nacional de Gobiernos Municipales y Demarcaciones Territoriales de la Ciudad de México 2021, 2023 y 2025.",neutro,neutro,alta,"Indicador descriptivo, estructural o sin dirección normativa inequívoca.",Bienal,media,"La serie de referencia muestra cortes bienales (2021, 2023, 2025).",2025,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
102,"Geográfica y Medio Ambiente",Forestal,"Superficie de Áreas Naturales Protegidas (metros cuadrados)","CONANP. Sistema de Información Geográfica (SIG) 2020 y 2025.",neutro,asendente,media,"Un valor mayor suele representar mayor cobertura, capacidad o resultado favorable.","Por confirmar",baja,"La fuente registrada no permite establecer un calendario confiable.",2025,,"Por confirmar con calendario oficial",https://www.gob.mx/conanp,2026-07-22
103,"Geográfica y Medio Ambiente",Forestal,"Áreas afectadas por incendios (hectáreas)","CONAFOR. Concentrado Nacional de Incendios Forestales 2022, 2023, 2024 y 2025.",neutro,descendente,media,"Un valor menor suele representar menor carencia, riesgo o presión desfavorable.",Anual,media,"El concentrado de incendios forestales se consolida anualmente.",2025,,"Por confirmar con calendario oficial",https://www.gob.mx/conafor,2026-07-22
104,"Geográfica y Medio Ambiente","Ordenamiento Territorial","Superficie territorial (hectáreas)","INEGI. Geografía y Medio Ambiente. Marco Geoestadístico. ",neutro,neutro,alta,"Indicador descriptivo, estructural o sin dirección normativa inequívoca.",Anual,media,"El marco geoestadístico se actualiza por versión, normalmente anual.",,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
105,"Geográfica y Medio Ambiente","Ordenamiento Territorial","Instrumentos de planeación en materia territorial (número)","INEGI. Censo Nacional de Gobiernos Municipales y Demarcaciones Territoriales de la Ciudad de México 2021, 2023 y 2025.",neutro,asendente,media,"Un valor mayor suele representar mayor cobertura, capacidad o resultado favorable.",Bienal,media,"La serie de referencia muestra cortes bienales (2021, 2023, 2025).",2025,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
106,"Geográfica y Medio Ambiente","Ordenamiento Territorial","Población en asentamientos humanos irregulares","INEGI. Censo Nacional de Gobiernos Municipales y Demarcaciones Territoriales de la Ciudad de México 2021, 2023 y 2025.",neutro,descendente,media,"Un valor menor suele representar menor carencia, riesgo o presión desfavorable.",Bienal,media,"La serie de referencia muestra cortes bienales (2021, 2023, 2025).",2025,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
107,"Geográfica y Medio Ambiente","Ordenamiento Territorial","Superficie de asentamientos humanos irregulares (Hectárias)","INEGI. Censo Nacional de Gobiernos Municipales y Demarcaciones Territoriales de la Ciudad de México 2021, 2023 y 2025.",neutro,descendente,media,"Un valor menor suele representar menor carencia, riesgo o presión desfavorable.",Bienal,media,"La serie de referencia muestra cortes bienales (2021, 2023, 2025).",2025,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
108,"Geográfica y Medio Ambiente",Movilidad,"Porcentaje de población según el tiempo promedio de traslado a la escuela ","INEGI. Censo de Población y Vivienda 2020.",neutro,descendente,media,"Un valor menor suele representar menor carencia, riesgo o presión desfavorable.",Decenal,media,"El Censo de Población y Vivienda tiene periodicidad decenal; cortes intercensales deben documentarse.",2020,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
109,"Geográfica y Medio Ambiente",Movilidad,"Porcentaje de población según el tiempo promedio de traslado a su lugar de trabajo","INEGI. Censo de Población y Vivienda 2020.",neutro,descendente,media,"Un valor menor suele representar menor carencia, riesgo o presión desfavorable.",Decenal,media,"El Censo de Población y Vivienda tiene periodicidad decenal; cortes intercensales deben documentarse.",2020,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
110,"Geográfica y Medio Ambiente","Suelo y tipo de vegetación","Usos de suelo y vegetación (hectáreas)","INEGI. Uso de suelo y vegentación 2018.",neutro,neutro,alta,"Indicador descriptivo, estructural o sin dirección normativa inequívoca.","Por confirmar",baja,"La fuente registrada no permite establecer un calendario confiable.",2018,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
111,"Geográfica y Medio Ambiente","Ordenamiento Territorial","Tipo de instrumentos de planeación en materia territorial","INEGI. Censo Nacional de Gobiernos Municipales y Demarcaciones Territoriales de la Ciudad de México 2023.",neutro,asendente,media,"Un valor mayor suele representar mayor cobertura, capacidad o resultado favorable.",Bienal,media,"La serie de referencia muestra cortes bienales (2021, 2023, 2025).",2023,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
137,"Gobierno, Seguridad e Impartición de Justicia",Gobierno,"Recursos federales transferidos al municipio (FORTAMUN y FAISMUN) en miles de pesos","Portal de Transparencia Fiscal. Estadísticas Fiscales 2022, 2023, 2024 y 2025.",neutro,asendente,media,"Un valor mayor suele representar mayor cobertura, capacidad o resultado favorable.","Por confirmar",baja,"La fuente registrada no permite establecer un calendario confiable.",2025,,"Por confirmar con calendario oficial",,2026-07-22
138,"Gobierno, Seguridad e Impartición de Justicia",Gobierno,"Porcentaje de personas de 18 y más con percepción de corrupción por tipo de autoridad","INEGI. Encuesta Nacional de Victimización y Percepción Sobre Seguridad Pública (ENVIPE), 2022, 2023 y 2024.",neutro,descendente,media,"Un valor menor suele representar menor carencia, riesgo o presión desfavorable.",Anual,media,"La ENVIPE se publica anualmente.",2024,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
139,"Gobierno, Seguridad e Impartición de Justicia",Gobierno,"Porcentaje de personas de 18 y más con percepción de inseguridad","INEGI. Encuesta Nacional de Victimización y Percepción Sobre Seguridad Pública (ENVIPE), 2022, 2023 y 2024.",neutro,descendente,media,"Un valor menor suele representar menor carencia, riesgo o presión desfavorable.",Anual,media,"La ENVIPE se publica anualmente.",2024,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
141,"Gobierno, Seguridad e Impartición de Justicia","Seguridad Pública","Número de elementos o policías capacitados","INEGI. Censo Nacional de Gobiernos Municipales y Demarcaciones Territoriales de la Ciudad de México 2021, 2023 y 2025.",neutro,asendente,media,"Un valor mayor suele representar mayor cobertura, capacidad o resultado favorable.",Bienal,media,"La serie de referencia muestra cortes bienales (2021, 2023, 2025).",2025,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
142,"Gobierno, Seguridad e Impartición de Justicia","Seguridad Pública","Parque vehícular la administración pública municipal por tipo","INEGI. Censo Nacional de Gobiernos Municipales y Demarcaciones Territoriales de la Ciudad de México 2021 y 2023.",neutro,neutro,alta,"Indicador descriptivo, estructural o sin dirección normativa inequívoca.",Bienal,media,"La serie de referencia muestra cortes bienales (2021, 2023, 2025).",2023,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
143,"Gobierno, Seguridad e Impartición de Justicia","Seguridad Pública","Accidentes de tránsito terrestre según causa","INEGI. Estadísticas de accidentes de tránsito terrestre en zonas urbanas y suburbanas, 2022, 2023 y 2024.",neutro,descendente,media,"Un valor menor suele representar menor carencia, riesgo o presión desfavorable.","Por confirmar",baja,"La fuente registrada no permite establecer un calendario confiable.",2024,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
144,"Gobierno, Seguridad e Impartición de Justicia","Seguridad Pública","Número de llamadas recibidas que fueron atendidas","INEGI. Censo Nacional de Gobiernos Municipales y Demarcaciones Territoriales de la Ciudad de México 2021, 2023 y 2025.",neutro,asendente,media,"Un valor mayor suele representar mayor cobertura, capacidad o resultado favorable.",Bienal,media,"La serie de referencia muestra cortes bienales (2021, 2023, 2025).",2025,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
145,"Gobierno, Seguridad e Impartición de Justicia","Seguridad Pública","Incidencia delictiva por tipo de delito","SESNSP. Incidencia delictiva del Fuero Común, 2015-2025.",neutro,descendente,media,"Un valor menor suele representar menor carencia, riesgo o presión desfavorable.",Mensual,media,"La incidencia delictiva del SESNSP se actualiza con cortes mensuales.",2025,,"Por confirmar con calendario oficial",https://www.gob.mx/sesnsp,2026-07-22
146,"Gobierno, Seguridad e Impartición de Justicia","Seguridad Pública","Tasa anual de incidencia delictiva por cada 100 mil habitantes","SESNSP. Incidencia delictiva del Fuero Común, 2015-2025; Consejo Nacional de Población (CONAPO). Proyecciones de la Población por Entidad Federativa, 1990-2040.",neutro,descendente,media,"Un valor menor suele representar menor carencia, riesgo o presión desfavorable.",Mensual,media,"La incidencia delictiva del SESNSP se actualiza con cortes mensuales.",2025,,"Por confirmar con calendario oficial","https://www.gob.mx/conapo ; https://www.gob.mx/sesnsp",2026-07-22
147,"Gobierno, Seguridad e Impartición de Justicia","Seguridad Pública","Tasa anual de homicidios por cada 100 mil habitantes","SESNSP. Incidencia delictiva del Fuero Común, 2015-2025; Consejo Nacional de Población (CONAPO). Proyecciones de la Población por Entidad Federativa, 1990-2040.",neutro,descendente,media,"Un valor menor suele representar menor carencia, riesgo o presión desfavorable.",Mensual,media,"La incidencia delictiva del SESNSP se actualiza con cortes mensuales.",2025,,"Por confirmar con calendario oficial","https://www.gob.mx/conapo ; https://www.gob.mx/sesnsp",2026-07-22
148,"Gobierno, Seguridad e Impartición de Justicia","Seguridad Pública","Porcentaje de hogares víctimas de delito","INEGI. Encuesta Nacional de Victimización y Percepción Sobre Seguridad Pública (ENVIPE), 2022, 2023, 2024.",neutro,descendente,media,"Un valor menor suele representar menor carencia, riesgo o presión desfavorable.",Anual,media,"La ENVIPE se publica anualmente.",2024,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
149,"Gobierno, Seguridad e Impartición de Justicia","Impartición de Justicia","Celdas para ejecutar arrestos","INEGI. Censo Nacional de Gobiernos Municipales y Demarcaciones Territoriales de la Ciudad de México 2021, 2023 y 2025.",neutro,neutro,alta,"Indicador descriptivo, estructural o sin dirección normativa inequívoca.",Bienal,media,"La serie de referencia muestra cortes bienales (2021, 2023, 2025).",2025,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
150,"Gobierno, Seguridad e Impartición de Justicia","Seguridad Pública","Número de elementos o policías que conforman la corporación policial","INEGI. Censo Nacional de Gobiernos Municipales y Demarcaciones Territoriales de la Ciudad de México 2021, 2023 y 2025.",neutro,asendente,media,"Un valor mayor suele representar mayor cobertura, capacidad o resultado favorable.",Bienal,media,"La serie de referencia muestra cortes bienales (2021, 2023, 2025).",2025,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
152,Económico,"Transporte y comunicaciones ","Índice de Motorización por 1,000 habitantes","Proyecciones CONAPO (población total proyectada a mitad de año). INEGI. Estadísticas de Vehículos de Motor Registrados en Circulación. Años de información disponible: 2021, 2022, 2023 y 2024.",neutro,descendente,media,"Un valor menor suele representar menor carencia, riesgo o presión desfavorable.",Anual,media,"La estadística de vehículos registrados se publica anualmente.",2024,,"Por confirmar con calendario oficial","https://www.inegi.org.mx/ ; https://www.gob.mx/conapo",2026-07-22
153,"Gobierno, Seguridad e Impartición de Justicia",Gobierno,"Recursos devengados del FORTAMUN Per Cápita","Fuente: Portal de Transparencia Fiscal. Estadísticas Fiscales. Proyecciones CONAPO (población total proyectada a mitad de año). Años de información disponible:2022,2023, 2024 y 2025.",neutro,asendente,media,"Un valor mayor suele representar mayor cobertura, capacidad o resultado favorable.","Por confirmar",baja,"La fuente registrada no permite establecer un calendario confiable.",2025,,"Por confirmar con calendario oficial",https://www.gob.mx/conapo,2026-07-22
154,"Demográfica y Social",Vivienda,"Porcentaje de viviendas particulares habitadas que disponen de computadoras",INEGI,asendente,asendente,media,"Un valor mayor suele representar mayor cobertura, capacidad o resultado favorable.","Por confirmar",baja,"La fuente registrada no permite establecer un calendario confiable.",,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
155,Económico,Empleo,"Tasa de ocupación",SEI,asendente,asendente,media,"Un valor mayor suele representar mayor cobertura, capacidad o resultado favorable.","Por confirmar",baja,"La fuente registrada no permite establecer un calendario confiable.",,,"Por confirmar con calendario oficial",,2026-07-22
156,Económico,Empleo,"Tasa de desocupación",SEI,descendente,neutro,baja,"El indicador mezcla dimensiones favorables y desfavorables o requiere revisar sus variables.","Por confirmar",baja,"La fuente registrada no permite establecer un calendario confiable.",,,"Por confirmar con calendario oficial",,2026-07-22
